loopCounter,A0value,A1value,A2value,A3value,A4value,A5value,A6value,A7value,LeftPWMvalue,RightPWMvalue,Leftcountvalue,Rightcountvalue,S2value,S4_1value,S4_2value,S4_3value,S4_4value,D6value,D6opvalue,LeftDirvalue,RightDirvalue,EmitterAvalue,EmitterBvalue,D13lampvalue
57948,143,156,172,185,197,208,130,745,50,50,18297,18302,0,1,1,1,0,0,0,1,1,0,0,1
57949,140,150,164,177,187,198,129,735,50,50,18309,18315,0,1,1,1,0,0,0,1,1,0,0,1
57950,145,158,173,184,192,202,129,732,50,50,18398,18403,0,1,1,1,0,0,0,1,1,0,0,1
57951,143,155,171,184,192,201,129,734,50,50,18426,18431,0,1,1,1,0,0,0,1,1,0,0,1
57952,145,158,174,186,195,206,129,732,50,50,18522,18527,0,1,1,1,0,0,0,1,1,0,0,1
57953,144,156,172,185,194,203,129,735,50,50,18550,18555,0,1,1,1,0,0,0,1,1,0,0,1
57954,511,394,320,274,239,223,129,702,50,50,18604,18609,0,1,1,1,0,0,0,1,1,0,0,1
57955,274,309,313,304,285,269,129,732,50,50,18674,18680,0,1,1,1,0,0,0,1,1,0,0,1
57956,186,229,259,275,278,275,129,733,50,50,18703,18708,0,1,1,1,0,0,0,1,1,0,0,1
57957,148,168,192,212,232,249,129,732,50,50,18799,18804,0,1,1,1,0,0,0,1,1,0,0,1
57958,144,158,178,196,213,230,129,731,50,50,18827,18832,0,1,1,1,0,0,0,1,1,0,0,1
57959,145,158,175,188,199,214,129,734,50,50,18923,18929,0,1,1,1,0,0,0,1,1,0,0,1
57960,144,156,172,185,195,207,129,732,50,50,18952,18957,0,1,1,1,0,0,0,1,1,0,0,1
57961,140,150,164,176,187,198,129,731,50,50,18980,18985,0,1,1,1,0,0,0,1,1,0,0,1
57962,145,158,173,185,192,203,130,736,50,50,19076,19082,0,1,1,1,0,0,0,1,1,0,0,1
57963,144,156,172,184,192,201,129,732,50,50,19105,19110,0,1,1,1,0,0,0,1,1,0,0,1
57964,140,150,163,176,185,193,129,731,50,50,19133,19138,0,1,1,1,0,0,0,1,1,0,0,1
57965,145,158,173,185,193,203,130,734,50,50,19229,19234,0,1,1,1,0,0,0,1,1,0,0,1
57966,144,155,171,184,192,199,130,732,50,50,19258,19262,0,1,1,1,0,0,0,1,1,0,0,1
57967,146,158,174,187,195,206,129,730,50,50,19353,19359,0,1,1,1,0,0,0,1,1,0,0,1
57968,143,155,171,185,194,203,129,732,50,50,19382,19387,0,1,1,1,0,0,0,1,1,0,0,1
57969,145,158,174,186,195,206,129,734,50,50,19478,19484,0,1,1,1,0,0,0,1,1,0,0,1
57970,143,155,171,185,193,203,129,732,50,50,19507,19512,0,1,1,1,0,0,0,1,1,0,0,1
57971,145,158,174,187,195,205,130,733,50,50,19602,19608,0,1,1,1,0,0,0,1,1,0,0,1
57972,143,155,172,185,194,203,129,729,50,50,19631,19636,0,1,1,1,0,0,0,1,1,0,0,1
57973,140,150,164,176,186,196,129,732,50,50,19660,19664,0,1,1,1,0,0,0,1,1,0,0,1
57974,145,158,173,185,192,202,129,734,50,50,19755,19761,0,1,1,1,0,0,0,1,1,0,0,1
57975,143,155,171,184,192,201,129,730,50,50,19784,19789,0,1,1,1,0,0,0,1,1,0,0,0
57976,145,158,174,186,195,205,129,735,50,50,19880,19886,0,1,1,1,0,0,0,1,1,0,0,0
57977,143,156,172,185,193,203,129,735,50,50,19909,19914,0,1,1,1,0,0,0,1,1,0,0,0
57978,140,150,164,176,186,196,129,730,50,50,19937,19942,0,1,1,1,0,0,0,1,1,0,0,0
